# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
	though	in-ID	
	thought	in-ID	
	three	in-ID	
	through	in-ID	
	throughout	in-ID	
	throw	in-ID	
	thus	in-ID	
	time	in-ID	
	today	in-ID	
	together	in-ID	
	too	in-ID	
	tooth	in-ID	
	top	in-ID	
	total	in-ID	
	toward	in-ID	
	town	in-ID	
	train	in-ID	
	treatment	in-ID	
	tree	in-ID	
	trial	in-ID	
	trip	in-ID	
	trouble	in-ID	
	true	in-ID	
	truth	in-ID	
	try	in-ID	
	turn	in-ID	
	two	in-ID	
	type	in-ID	
	under	in-ID	
	understand	in-ID	
	unit	in-ID	
	unite	in-ID	
	university	in-ID	
	until	in-ID	
	upon	in-ID	
	use	in-ID	
	usually	in-ID	
	value	in-ID	
	various	in-ID	
	vary	in-ID	
	very	in-ID	
	view	in-ID	
	visit	in-ID	
	voice	in-ID	
	volume	in-ID	
	wait	in-ID	
	walk	in-ID	
	wall	in-ID	
	want	in-ID	
	war	in-ID	
	watch	in-ID	
	water	in-ID	
	way	in-ID	
	weapon	in-ID	
	wear	in-ID	
	week	in-ID	
	well	in-ID	
	west	in-ID	
	western	in-ID	
	what	in-ID	
	when	in-ID	
	where	in-ID	
	whether	in-ID	
	which	in-ID	
	while	in-ID	
	white	in-ID	
	who	in-ID	
	whole	in-ID	
	why	in-ID	
	wide	in-ID	
	wife	in-ID	
	will	in-ID	
	win	in-ID	
	window	in-ID	
	wish	in-ID	
	with	in-ID	
	within	in-ID	
	without	in-ID	
	woman	in-ID	
	wonder	in-ID	
	word	in-ID	
	work	in-ID	
	worker	in-ID	
	world	in-ID	
	would	in-ID	
	write	in-ID	
	writer	in-ID	
	year	in-ID	
	yes	in-ID	
	yet	in-ID	
	you	in-ID	
	young	in-ID	
